"pair ID","label","premise","hypothesis","important words in the premise","important words in the hypothesis"
"7113652429.jpg#0r1c","contradiction","Four men playing drums in very orange lighting while one of them is also drinking something out of a bottle .","the men are asleep in the motel","",""
"4413167760.jpg#2r1c","contradiction","Two men have an after dinner discussion at the dinner table .","the men are asleep in the motel","",""
"4443087970.jpg#3r1e","entailment","Man on phone in business suit walking down a busy street .","A person on a phone is outdoors","",""
"3358682439.jpg#0r1c","contradiction","a woman in jeans and a woman in shorts are petting a baby kangaroo .","The woman are wearing bikinis and petting an elephant .","",""
"2221818690.jpg#0r1n","neutral","A teenager blows a whistle and wears white face paint , earmuffs , and a yellow hat while another teen watches .","A tall person in face paint","",""
"2537611154.jpg#2r1n","neutral","Four men wearing orange vests are putting in a steel beam on the ground .","Tall humans in orange","",""
"4783263491.jpg#0r1n","neutral","Women in a red hat and beige shoes standing with hands behind her back in front of a cement wall .","A tall person in a hat","",""
"4580613274.jpg#4r1e","entailment","A person sweeping stairs in a park .","A person outside .","",""
"1094462889.jpg#0r1n","neutral","A brown dog plays in a deep pile of snow .","A brown dog is outside and it 's snowing","",""
"3324049172.jpg#0r1e","entailment","A girl making a snow angel , wearing a black hat and glasses .","A girl is outside in the snow .","",""
"3763959012.jpg#1r1c","contradiction","Two men in hard hats look at a building while on the side of a street .","2 male humans are sleeping .","",""
"3338210819.jpg#4r1c","contradiction","A silhouette of a man fishing .","A man is sleeping .","",""
"6936180661.jpg#4r1c","contradiction","People trying to get warm .","People are sleeping .","",""
"4287405602.jpg#1r1n","neutral","A woman cook in an apron is smiling at the camera with two other cooks in the background .","A woman is in a cooking competition","",""
"2944675019.jpg#4r1c","neutral","A woman in a striped shirt holds an infant .","A person is watching TV .","",""
"2468921460.jpg#1r1n","neutral","A women 's volleyball team plays in a brown and green gymnasium .","A volleyball team is performing in a national competition .","",""
"2537030709.jpg#0r1e","entailment","Man in traditional costume holding small guitar with a silver bike behind him .","A man is holding a musical instrument .","",""
"4436200118.jpg#1r1n","neutral","A woman in a long , dark coat looks through trashcans in Winter .","A woman older than thirty is outside in winter .","",""
"5310484815.jpg#1r1c","contradiction","Two young boys are playing with a toy train set on a wood floor .","Two girls are playing with dolls .","",""
"3624771682.jpg#1r1n","neutral","Two little girls reading a book at the library .","The girls are sisters .","",""
"2434710077.jpg#2r1n","neutral","Three young girls and a baby are sitting in the grass on a blue blanket with baby toys scattered on it .","Four sisters play with each other .","",""
"2786996501.jpg#1r1n","neutral","Two smiling young girls wearing plastic sunglasses are lying on the grass .","The two girls are sisters .","",""
"2904104770.jpg#1r1n","neutral","The female soccer team is getting last minute instruction from their coach .","The soccer team is listening to their coach for their last play to win the soccer game .","",""
"3436074878.jpg#4r1n","neutral","A dog biting a man 's rear","An animal bit its owner .","",""
"2748929011.jpg#4r1c","contradiction","A golfer shoots his ball out of a sand trap .","A drive off of the first tee .","",""
"3403797144.jpg#2r1n","neutral","A surfer is riding a wave in a large body of water .","This is his first wave of the day .","",""
"6899247616.jpg#4r1n","neutral","A woman finishing a marathon race .","The woman is in first place .","",""
"2919459517.jpg#4r1n","neutral","Man with blue and yellow shirt rides bike .","a man rides a bike for the first time","",""
"4799726314.jpg#0r1e","entailment","A baby with a green bottom and red top lying in bed with a brown and white cat and also a black and white cat .","There is a child and two animals .","",""
"487894806.jpg#0r1c","contradiction","A brown dog wearing a collar is chasing and biting on a red broom .","An animal is sleeping outside .","",""
"2402462857.jpg#1r1e","entailment","Brown and cream dog with tongue out in front of grassy forest","There is an animal standing outdoors .","",""
"3354063643.jpg#2r1e","entailment","The dog is in snow , and has a stick in its mouth .","There is an animal outdoors .","",""
"4871326552.jpg#1r1c","contradiction","The women is photographing statues outdoors on a sunny day .","Two men taking pictures of animals","",""
"5637347272.jpg#1r1e","entailment","A woman in a striped shirt is walking a horse across a street .","A human and an animal are outdoors .","",""
"1801188148.jpg#1r1e","entailment","Four dogs of varying breeds running through a field .","Some animals outdoors .","",""
"200797624.jpg#4r1c","contradiction","Army men grilling a lot of meat while his troop looks on .","No animal products can be seen here .","",""
"5745422329.jpg#2r1c","contradiction","A man in a green shirt and dark pants and carrying a really big pot turns around to talk to 3 other people .","Nobody has a shirt on","",""
"2493825916.jpg#4r1c","contradiction","A little boy playing outside on the cement .","A boy is doing homework .","",""
"3225880532.jpg#4r1n","neutral","Two men talk outdoors .","The men are talking about their wives","",""
"2311616095.jpg#1r1c","contradiction","Dark-haired man wearing a watch and oven mitt about to cook some meat in the kitchen .","A man is sitting watching TV .","",""
"3169168282.jpg#2r1c","contradiction","A little boy punching out flashcards from the cardboard they came in .","A boy watches TV .","",""
"3191805046.jpg#1r1e","entailment","This man dressed in white pants and blue shirt , is standing on a ledge in the snow .","A man is outside in the snow .","",""
"3465396606.jpg#4r1e","entailment","A woman with a stroller is passing a man walking a dog .","There are people outside .","",""
"3465396606.jpg#4r1n","neutral","A woman with a stroller is passing a man walking a dog .","There is a black dog outside .","",""
"3580277210.jpg#4r1c","contradiction","Two people playing badminton .","Two people playing basketball outside .","",""
"345852737.jpg#1r1e","entailment","A woman in a burgundy coat exits Trader Joe 's with a cart full of groceries .","a woman outside","",""
"4446142718.jpg#2r1c","contradiction","A boy plays with a motorized car next to a dirty street lined with real cars .","no boy is outside in the streets playing .","",""
"4274214534.jpg#4r1e","entailment","A woman is walking her dog along a snowy ground .","A woman is with her dog outside .","",""
"4570069538.jpg#1r1e","entailment","A crowd of people fill the street in front of a McDonald 's .","There is a crowd outside the restaurant .","",""
"3949924354.jpg#1r1e","entailment","A man in a white shirt and baseball hat is pushing a cart carrying several bags on a street .","A man is walking outside .","",""
"3205887140.jpg#0r1e","entailment","A woman with red-hair and a leather jacket holds a harp in front of a snowy forest .","The woman is holding an instrument .","",""
"2325436612.jpg#4r1e","entailment","Two men are looking through microscopes in a room .","There are men using scientific instruments .","",""
"7582869910.jpg#3r1e","entailment","A group of people cleaning some kins of sea animal .","There is at least one person .","",""
"3316725440.jpg#4r1e","entailment","A biker races .","A person is riding a bike","",""
